"reprS" "Sat0" "expAC"
0.02 15 -0.0877249424217378
0.021 14 -0.102796286108458
0.022 13 -0.114307817863856
0.023 12 -0.124622319639841
0.024 11 -0.145789995787399
0.025 10 -0.14313397141383
0.027 9 -0.163366962038411
0.03 8 -0.184481939999277
0.032 7 -0.204996020343215
0.035 7 -0.226937204557704
0.04 6 -0.256465096419294
0.045 5 -0.286339978562739
0.05 5 -0.305012120952798
