Time 	Sus 	Infected 	mean_inf 
0 	472408 	52685 	5 
100 	497531 	20628 	5.0158606867098445 
200 	288995 	32131 	5.0480863656687918 
300 	328689 	41618 	5.0758295073489341 
400 	346415 	35401 	5.1094887738333892 
500 	321031 	35800 	5.151443928078117 
600 	323668 	36826 	5.1896444936717998 
700 	322879 	37822 	5.2415145742095728 
800 	320917 	35659 	5.2913623087453452 
900 	320399 	36475 	5.3819433887645367 
1000 	313007 	37548 	5.4442581587882151 
1100 	327356 	34885 	5.488212634810453 
1200 	304054 	34438 	5.5801510514912014 
1300 	307595 	36471 	5.6463324711563931 
1400 	311273 	35294 	5.696371723732927 
1500 	305913 	34348 	5.7704539386582363 
1600 	296664 	35361 	5.8774251095443288 
1700 	302469 	34138 	5.9711971188843105 
1800 	305070 	34146 	6.00143426567461 
1900 	292394 	33970 	6.1040388774266408 
2000 	297045 	35027 	6.1779678513779563 
2100 	293994 	34349 	6.2004361936932186 
2200 	287170 	33289 	6.2980209074924405 
2300 	295909 	33538 	6.3381414925077877 
2400 	295894 	32037 	6.4147624076061307 
2500 	287614 	33943 	6.4664161578777319 
2600 	289126 	33871 	6.4795853384856779 
2700 	287135 	32793 	6.565910312947838 
2800 	276721 	32774 	6.6523850137209273 
2900 	286308 	32727 	6.7048877519056136 
3000 	279598 	31164 	6.7322455566660224 
3100 	274803 	31407 	6.8271558593010555 
3200 	274430 	33089 	6.906300527945251 
3300 	276029 	32149 	6.8971970396829274 
3400 	273318 	32534 	6.9660989931769031 
3500 	276992 	31503 	7.0619041910944329 
3600 	272567 	31816 	7.0993440530062264 
3700 	272241 	31149 	7.1223402442057013 
3800 	260227 	30060 	7.1774080144705641 
3900 	278749 	32318 	7.2688489700640568 
4000 	277163 	28929 	7.2917117474821502 
4100 	258513 	31751 	7.2633456356060577 
4200 	289278 	30981 	7.2882465993619849 
4300 	263114 	30202 	7.3898824087829285 
4400 	258726 	31666 	7.428737425254667 
4500 	264216 	30708 	7.507399916620396 
4600 	257826 	29947 	7.5050235512655279 
4700 	265129 	32391 	7.5852495634724217 
4800 	268120 	28094 	7.6916801309893916 
4900 	258368 	30051 	7.7232057213002028 
5000 	259611 	30026 	7.7120186462352249 
5100 	252861 	31196 	7.8021196434246534 
5200 	258847 	29397 	7.8629688117913501 
5300 	268356 	30246 	7.8225212922860905 
5400 	261681 	29941 	7.8759805185465277 
5500 	262784 	29015 	7.9172691524238763 
5600 	250588 	30221 	7.9276932282629451 
5700 	256497 	30167 	7.9433083208261772 
5800 	252677 	30670 	7.9587527060728718 
5900 	256567 	32472 	7.9850415632084655 
6000 	271129 	30866 	7.9919583421339109 
6100 	247846 	27575 	8.1014418506537176 
6200 	255779 	30103 	8.0759194714372633 
6300 	258750 	31173 	8.1187369702804268 
6400 	259965 	27773 	8.1116425353679098 
6500 	248354 	29230 	8.1143079535886002 
6600 	260273 	29910 	8.1636820532181762 
6700 	263225 	28684 	8.2005326969570813 
6800 	259252 	28885 	8.163573976253419 
6900 	246898 	29671 	8.3025706213773418 
7000 	254526 	30433 	8.3144180484032031 
7100 	256511 	28940 	8.3709786775953727 
7200 	251758 	29206 	8.3667369913169463 
7300 	252489 	28405 	8.4102584925586115 
7400 	254764 	29064 	8.3629276753115267 
7500 	253135 	27695 	8.3765675258896373 
7600 	252206 	31007 	8.4224195952246284 
7700 	254734 	27587 	8.4490721639053579 
7800 	251651 	28981 	8.4595402072149319 
7900 	257580 	26818 	8.4585547764118996 
8000 	250458 	28269 	8.5735399929536467 
8100 	242111 	27856 	8.5690937512506569 
8200 	251849 	29674 	8.6139047697508957 
8300 	255861 	27929 	8.6966014502290658 
8400 	256829 	25082 	8.6531882928472061 
