Time 	Sus 	Infected 	mean_inf 
0 	472408 	52685 	5 
100 	238091 	94889 	5.0184035530202555 
200 	241008 	68743 	5.041877149044649 
300 	262662 	66832 	5.0610563386165488 
400 	263072 	70437 	5.0965796866205153 
500 	258390 	71673 	5.137659879335617 
600 	255536 	71377 	5.1723984340612521 
700 	254990 	69337 	5.2259801742311298 
800 	256352 	70176 	5.2641051790691966 
900 	251355 	69254 	5.3164767016468133 
1000 	249780 	70409 	5.3603147089070369 
1100 	252085 	67108 	5.4179336924179378 
1200 	252310 	69523 	5.4892392997877701 
1300 	247632 	69410 	5.5278005238998844 
1400 	242313 	68704 	5.5749800124975391 
1500 	244957 	67717 	5.6302603748182447 
1600 	243961 	65886 	5.679369384606785 
1700 	242623 	67093 	5.7281661549923824 
1800 	238592 	65196 	5.7756419669277594 
1900 	235516 	65131 	5.8230047482661362 
2000 	238497 	65905 	5.8928843599987868 
2100 	234428 	64380 	5.919893848079373 
2200 	238639 	61735 	5.9530125943655294 
2300 	237122 	65319 	6.0170177971172745 
2400 	230285 	64028 	6.0512496102101316 
2500 	228044 	65780 	6.0687536960571915 
2600 	232859 	62732 	6.11752823022508 
2700 	230866 	63269 	6.1608767150284898 
2800 	232320 	64353 	6.1965112285720156 
2900 	226236 	62632 	6.1963590170257854 
3000 	229500 	62591 	6.1965597480797241 
3100 	228079 	63998 	6.2538836842350189 
3200 	226230 	61338 	6.2947834980403208 
3300 	228228 	61595 	6.3194995010304504 
3400 	223988 	60956 	6.3976043953241604 
3500 	227003 	60877 	6.4079083585283838 
3600 	229197 	61240 	6.4382963671159965 
3700 	224240 	60873 	6.4783916034664202 
3800 	222041 	62421 	6.4828847100477809 
3900 	218617 	59897 	6.5149771204960425 
4000 	219110 	60635 	6.5450323285441714 
4100 	223638 	59575 	6.5512909870890166 
4200 	222172 	59321 	6.592587999447149 
4300 	224989 	59745 	6.6321983381877549 
4400 	215555 	60283 	6.6892043764352138 
4500 	219025 	59675 	6.7127661208683547 
4600 	223971 	59611 	6.7356242488921341 
4700 	223662 	58922 	6.7580537454470839 
4800 	224395 	59340 	6.7906382877071785 
4900 	217253 	59999 	6.8823900270183476 
5000 	214436 	59543 	6.899561957083276 
5100 	222294 	60458 	6.9096269032965019 
5200 	220005 	59091 	6.8989372346124771 
5300 	216666 	58187 	6.9397913724215403 
5400 	217792 	57862 	6.955198880042099 
5500 	216115 	58856 	6.9712900840571868 
5600 	215125 	57690 	6.9894162726710913 
5700 	211476 	57775 	6.9976315625629644 
5800 	209577 	57899 	7.0388264108146759 
5900 	211002 	57672 	7.080191269399692 
6000 	212721 	56398 	7.0979670006254789 
6100 	214994 	57356 	7.094408977253936 
6200 	214434 	55403 	7.0959149886343473 
6300 	217402 	58706 	7.1201445558442362 
6400 	213602 	55708 	7.1543036937896503 
6500 	213477 	56169 	7.1309974488512831 
6600 	208321 	57257 	7.1658565848385143 
6700 	214316 	56725 	7.2099310472980438 
6800 	218998 	55599 	7.2185073990979518 
6900 	217676 	56834 	7.2540210429345446 
7000 	212366 	57104 	7.2705261953389213 
7100 	218697 	55258 	7.2595900604646175 
7200 	219297 	56384 	7.2927406444573357 
7300 	213378 	56161 	7.3144385175266882 
7400 	210644 	54678 	7.2898931785502468 
7500 	219027 	55969 	7.3104186494050225 
7600 	212862 	58210 	7.3293412327153389 
7700 	210587 	54956 	7.3373488679905225 
7800 	210781 	55636 	7.3393849369233335 
7900 	214509 	56110 	7.3450389176253177 
8000 	214848 	55896 	7.4058346631501779 
