Time 	Sus 	Infected 	mean_inf 
0 	472408 	52685 	5 
100 	315260 	85293 	5.0133212766821211 
200 	264209 	70419 	5.0389812651634678 
300 	267706 	64574 	5.0696957072423761 
400 	267088 	60854 	5.0994116205141085 
500 	267575 	61656 	5.1360398691630049 
600 	270135 	61132 	5.173982499017435 
700 	269116 	58915 	5.2148357767763907 
800 	267184 	60122 	5.2444421322196648 
900 	268382 	60328 	5.2971177994194418 
1000 	271512 	58729 	5.3370488800621034 
1100 	272147 	58155 	5.3968369629721833 
1200 	268448 	60272 	5.444089913951677 
1300 	260500 	60355 	5.5201083494397851 
1400 	262419 	58830 	5.5603969175989727 
1500 	258201 	60094 	5.6109143523340155 
1600 	256498 	57505 	5.666899833222848 
1700 	258272 	56976 	5.7187291239607436 
1800 	252928 	55514 	5.782507500388153 
1900 	260404 	54713 	5.8543263143526918 
2000 	258736 	54565 	5.8825455256379948 
2100 	254989 	54548 	5.945600012844098 
2200 	247273 	54687 	5.9832321645112483 
2300 	253204 	55300 	6.0116282365415783 
2400 	250339 	55447 	6.0588087984212979 
2500 	247834 	57130 	6.0861091183892029 
2600 	242294 	56598 	6.1347447067941108 
2700 	245676 	55262 	6.1481582075170538 
2800 	246937 	55373 	6.2175997918814874 
2900 	237281 	52919 	6.2416470171696075 
3000 	243991 	53203 	6.3072358800674255 
3100 	238100 	55625 	6.3496913921054885 
3200 	238076 	51874 	6.3761460240998966 
3300 	246645 	50670 	6.443671828368104 
3400 	249317 	52591 	6.4700270141674538 
3500 	241922 	52512 	6.5190919492623634 
3600 	236091 	54531 	6.5056516114582434 
3700 	236569 	53459 	6.5237229760207827 
3800 	232145 	54182 	6.5746926747088468 
3900 	237872 	51758 	6.6083948207473977 
4000 	234004 	53498 	6.6863454163283267 
4100 	229335 	52369 	6.7617117296651363 
4200 	228459 	53682 	6.7967074178071778 
4300 	232658 	51845 	6.8278436050525588 
4400 	234466 	53108 	6.8709976857471649 
4500 	235604 	50405 	6.8965986066453233 
4600 	227927 	52561 	6.8853157882359168 
4700 	224656 	54470 	6.9271244292224123 
4800 	228905 	51918 	6.9266234166806449 
4900 	229171 	49803 	6.9604970881881556 
5000 	228592 	47749 	6.999757565003458 
5100 	228383 	49538 	7.0199674186941188 
5200 	225730 	50608 	7.0369223561066319 
5300 	229331 	50261 	7.0295334273685333 
