Time 	Sus 	Infected 	mean_inf 
0 	472408 	52685 	5 
100 	481242 	37438 	5.0157573297110041 
200 	344140 	33841 	5.0390696798627825 
300 	299622 	38052 	5.0585389868644359 
400 	294162 	44447 	5.0941887678899676 
500 	302572 	45417 	5.1434107216353437 
600 	309233 	43965 	5.1767930150015493 
700 	302548 	44951 	5.2185315731093658 
800 	301773 	44558 	5.2652047156407189 
900 	311200 	44036 	5.3001138434001174 
1000 	298558 	42338 	5.3544302071774545 
1100 	294434 	43648 	5.4420592485763795 
1200 	295137 	42289 	5.507473397148515 
1300 	296244 	43333 	5.5792050858417088 
1400 	301518 	41277 	5.6714883949385548 
1500 	295314 	40013 	5.7529982189018121 
1600 	292654 	40029 	5.7795450216077642 
1700 	280844 	40409 	5.8329789964051386 
1800 	276820 	41670 	5.884807087017454 
1900 	286737 	41052 	5.9086502073590017 
2000 	285220 	41240 	5.9415688048213982 
2100 	282761 	41643 	5.9940426895389693 
2200 	281162 	40798 	6.0334660195240426 
2300 	276791 	39772 	6.1386058450853458 
2400 	281004 	39909 	6.2211641314984254 
2500 	265706 	39454 	6.2436845345888514 
2600 	275200 	42005 	6.2929515220937224 
2700 	272174 	39252 	6.364602139906423 
2800 	269058 	37275 	6.4119791900925627 
2900 	265107 	38989 	6.4972273178128068 
3000 	268734 	39424 	6.5358683331251353 
3100 	265283 	37737 	6.5948418065333643 
3200 	258005 	39932 	6.6631373257119346 
3300 	264550 	39489 	6.6883998487422165 
3400 	262986 	38096 	6.7321619568223596 
3500 	256764 	37759 	6.7512339969834674 
3600 	253789 	39279 	6.8490153270603233 
3700 	264092 	37812 	6.9099557019547184 
3800 	257875 	38212 	6.8885417877727697 
3900 	250496 	37100 	6.9252971166611008 
4000 	253883 	39071 	7.0172460589404935 
4100 	266881 	38876 	7.0479032234778867 
4200 	259656 	37020 	7.0986920184946021 
4300 	253575 	37196 	7.1366368985763513 
4400 	249734 	39328 	7.1748846207122332 
4500 	255618 	39269 	7.172839308170496 
4600 	260615 	36158 	7.1817191387035839 
4700 	255322 	34951 	7.2637749014923303 
4800 	253986 	35048 	7.2295017149963776 
4900 	243279 	34799 	7.2958883964610184 
5000 	251365 	37474 	7.2889350753944129 
5100 	253045 	37456 	7.3293096824549471 
5200 	255703 	35691 	7.3926565575713248 
5300 	248235 	35976 	7.3999699085492914 
5400 	251659 	37206 	7.4080178206683804 
5500 	250485 	37313 	7.4306209262378733 
5600 	248790 	35641 	7.4214134723096423 
5700 	255338 	35741 	7.4198076605043539 
5800 	243408 	36639 	7.4641706154190919 
5900 	240322 	36955 	7.4860767262415422 
6000 	254177 	38112 	7.5309797966294658 
6100 	252230 	36768 	7.5258716587489944 
6200 	251427 	35325 	7.5770193186336199 
6300 	249434 	33343 	7.5598467556476985 
6400 	249053 	34485 	7.569313047489441 
6500 	245612 	34874 	7.5662996573306627 
6600 	252480 	34229 	7.5916515741747013 
6700 	240379 	35426 	7.6036775768269509 
6800 	253094 	37580 	7.5788799413183572 
6900 	257901 	36832 	7.5384762050069645 
7000 	263119 	32324 	7.6084687655937202 
7100 	242998 	34272 	7.6964718302436381 
7200 	245922 	34894 	7.7067254417283113 
7300 	254509 	34937 	7.7575157850387662 
7400 	242953 	35906 	7.8412818866491403 
7500 	251586 	35217 	7.8541431763571943 
7600 	248693 	34653 	7.9189450641445625 
7700 	250333 	33176 	8.0082973828522128 
7800 	246035 	33030 	7.9873328533662438 
7900 	239416 	33500 	8.0177426005250592 
8000 	244596 	34112 	8.06003255931914 
8100 	230518 	35753 	8.108544097407222 
8200 	255134 	32778 	8.0501322712464543 
8300 	239018 	31976 	8.0627640315379328 
8400 	237211 	33382 	8.0437873068477188 
8500 	239704 	35549 	8.1262355270136108 
8600 	241804 	35498 	8.103586121028453 
8700 	247592 	33352 	8.0971239631697021 
8800 	240403 	31911 	8.0799861472581043 
8900 	229419 	34032 	8.1076508505952152 
9000 	238639 	34322 	8.0727033118991844 
9100 	237376 	34514 	8.1100290184529342 
9200 	252366 	34530 	8.1285186502235813 
9300 	248179 	32352 	8.1251864746345852 
9400 	235018 	33076 	8.1127106921175365 
9500 	236979 	35465 	8.10254531608728 
9600 	248056 	33959 	8.1195210701034561 
9700 	241253 	34503 	8.1472869443198022 
9800 	241669 	33623 	8.1810047959896419 
9900 	234854 	33731 	8.2072312609408229 
10000 	245825 	34857 	8.1929385245253261 
10100 	241600 	34229 	8.2065392768618661 
10200 	224927 	33676 	8.2432761687477676 
10300 	240305 	36661 	8.2959066933341337 
10400 	255708 	35475 	8.3273462157708895 
10500 	242173 	31901 	8.3655251157542381 
10600 	228843 	31366 	8.3484210202501394 
10700 	232196 	36901 	8.3165905819196908 
10800 	241560 	35468 	8.3784437031063401 
10900 	237882 	33913 	8.4188145832082686 
11000 	235647 	34246 	8.3845692447289615 
11100 	241798 	32787 	8.4222896760974439 
11200 	230821 	32965 	8.4723093370663367 
11300 	234252 	34308 	8.4625435325927061 
11400 	234720 	33384 	8.4475203119976729 
11500 	243983 	32943 	8.4795539539416183 
11600 	245611 	33873 	8.5044482583594725 
11700 	231990 	31604 	8.6014660778822076 
11800 	228337 	33123 	8.6077435575190009 
11900 	244260 	33965 	8.5231618607580319 
12000 	240480 	31429 	8.5212096714302028 
12100 	234476 	32550 	8.6147043507298822 
12200 	232274 	32441 	8.5968210371670963 
12300 	231693 	34786 	8.6841590992114561 
12400 	249243 	31976 	8.5516871277446107 
12500 	232296 	34866 	8.6003461672679453 
12600 	250551 	32844 	8.4779880381107464 
12700 	246157 	30248 	8.5338000277784669 
12800 	230092 	30775 	8.569167134177837 
12900 	229080 	33540 	8.5845743212290966 
13000 	244084 	32571 	8.5939584215078462 
13100 	235966 	32228 	8.5437762235620287 
13200 	236914 	33940 	8.5226872055245835 
13300 	245907 	31148 	8.3803184938756079 
13400 	232699 	33631 	8.4628343597716587 
13500 	240133 	33377 	8.4659342546732361 
13600 	245035 	30746 	8.4227130652763957 
13700 	238651 	32114 	8.4271880759028335 
13800 	237075 	33014 	8.4210368893874019 
13900 	240902 	34075 	8.3671653870239133 
14000 	244808 	31954 	8.3272077223315168 
14100 	232984 	32771 	8.4250603335708032 
14200 	247517 	32075 	8.4371183925148507 
14300 	223644 	33297 	8.5310267497653314 
14400 	242475 	36558 	8.5656751867570851 
14500 	246215 	31756 	8.5698575076610215 
14600 	234433 	29965 	8.5122548728390584 
14700 	232094 	33813 	8.5899110773285869 
14800 	238388 	33266 	8.4941214260144218 
14900 	249011 	31836 	8.4788751438452152 
15000 	237421 	32097 	8.5439182543867176 
15100 	245445 	32631 	8.518481542084098 
15200 	239286 	31813 	8.5042153791793442 
15300 	230593 	31955 	8.5331544537747526 
15400 	233081 	34820 	8.6122796839881719 
