Time 	Sus 	Infected 	mean_inf 
0 	472408 	52685 	5 
100 	409023 	63076 	5.0228095381044096 
200 	344800 	54243 	5.0326424844933539 
300 	322584 	51606 	5.0664985178187019 
400 	305730 	50087 	5.0939032047573116 
500 	301796 	50401 	5.1282081163812663 
600 	291070 	52122 	5.1591503820618554 
700 	290622 	51416 	5.2093136472213519 
800 	290981 	49676 	5.2625407840936438 
900 	285122 	50760 	5.3136346601188515 
1000 	286294 	49661 	5.3587928218594998 
1100 	277634 	49316 	5.4230739292445067 
1200 	279821 	49749 	5.4773555062646375 
1300 	280393 	49846 	5.5239351843643574 
1400 	277537 	48224 	5.581754507388073 
1500 	272392 	47821 	5.6519530853643909 
1600 	271353 	47591 	5.7276300684129886 
1700 	260645 	47758 	5.7854892870046974 
1800 	265528 	49552 	5.8732329550730284 
1900 	268905 	48817 	5.9109922404980733 
2000 	266165 	46347 	5.975684093994456 
2100 	256137 	46305 	6.0253616178261868 
2200 	256974 	46920 	6.0804589814467578 
2300 	258413 	47222 	6.1328859420382891 
2400 	262881 	47768 	6.1827237587008215 
2500 	264821 	48005 	6.2512311828968707 
2600 	266413 	46551 	6.2994104625972502 
2700 	268099 	44636 	6.3349563547815269 
2800 	248946 	45153 	6.3864694724283568 
2900 	249515 	46036 	6.4367476736499176 
3000 	253261 	45142 	6.4908923169512347 
3100 	253990 	44926 	6.524545779689916 
3200 	255496 	43897 	6.5586900485484936 
3300 	261069 	44064 	6.6288809396548771 
3400 	249116 	43954 	6.6454130481058886 
3500 	247686 	45109 	6.6703633941398373 
3600 	251846 	43143 	6.6447583026218169 
3700 	245587 	43448 	6.7100831176446354 
3800 	243251 	43228 	6.7185221662024714 
3900 	246988 	43218 	6.7582378933188947 
4000 	250375 	42553 	6.8030375703737027 
4100 	248572 	42466 	6.8304973982668242 
4200 	245412 	42927 	6.8912026055648301 
4300 	236105 	43869 	6.9183143885855607 
4400 	245359 	43894 	6.9687210792550358 
4500 	243978 	43864 	7.0115751512356823 
4600 	244903 	42113 	7.0796604874451701 
4700 	238084 	41521 	7.0910643172901562 
4800 	244898 	41832 	7.1579496388730712 
4900 	241242 	43201 	7.200016410615989 
5000 	235976 	43244 	7.2662610650500881 
5100 	242404 	41765 	7.2760304850985991 
5200 	245607 	40037 	7.2717616072956135 
5300 	243013 	40069 	7.3286696485542659 
5400 	243728 	41018 	7.4054324149031237 
5500 	235160 	42399 	7.4088299551208916 
5600 	239834 	41091 	7.3712840056046867 
5700 	242128 	40543 	7.3527659357068158 
5800 	240695 	42020 	7.3961006373441345 
5900 	244323 	38890 	7.4428798633282893 
6000 	236471 	39815 	7.4935807529054195 
6100 	236148 	40576 	7.5093275151499066 
6200 	241170 	41975 	7.5118730046447562 
6300 	241284 	41938 	7.5150848879495804 
6400 	244959 	40665 	7.5679632395779262 
6500 	240842 	39763 	7.6245955281945212 
6600 	241099 	40764 	7.6588624849221212 
6700 	239171 	39570 	7.6468509069773845 
6800 	234252 	40969 	7.6482467671823366 
6900 	233066 	41547 	7.7019027321508657 
7000 	240332 	41578 	7.6597397543092782 
7100 	226020 	40453 	7.6634097249063649 
7200 	234431 	41267 	7.6388896663981978 
7300 	237274 	40508 	7.6785284998587793 
7400 	237741 	40616 	7.6998494952395875 
7500 	239742 	41369 	7.689982448627636 
7600 	230846 	39194 	7.7086080816193885 
7700 	231018 	40509 	7.7152133137387189 
7800 	235780 	41701 	7.7081944385190919 
7900 	241324 	39759 	7.6923156878821288 
8000 	236160 	40437 	7.7063408862943152 
8100 	238694 	39155 	7.7314209396976281 
8200 	230872 	38896 	7.7585352810442059 
8300 	233408 	40798 	7.7875948929673156 
8400 	224122 	39744 	7.8685133638412506 
8500 	225338 	39863 	7.8716134806624067 
8600 	228002 	39557 	7.9270840189727156 
8700 	228059 	39594 	7.9777319289816004 
8800 	228852 	38621 	7.9564390011378023 
8900 	229225 	38177 	7.9770486313511055 
9000 	223484 	36657 	8.0273061309760063 
9100 	227754 	39185 	8.019872673253392 
9200 	228620 	39898 	8.0220286602801423 
9300 	231794 	38530 	8.0229332351802469 
9400 	228048 	39903 	8.0161623374467066 
9500 	233332 	38611 	8.0255115190409629 
9600 	230953 	39969 	8.0732333317267972 
9700 	225578 	38421 	8.0077435144062701 
9800 	222517 	37488 	8.006855755877309 
9900 	219926 	38238 	8.0236369537236314 
10000 	223095 	39623 	8.0198421148408414 
10100 	238681 	39856 	8.0056474060068261 
10200 	236281 	38613 	8.0462293159167562 
10300 	226363 	38493 	8.0924263360718616 
10400 	230408 	39636 	8.0166153917821674 
10500 	233294 	39135 	8.0499414091561832 
10600 	233784 	39310 	8.0495980953179824 
10700 	237236 	38784 	8.0534779850035569 
10800 	231391 	39797 	7.9862473438549229 
10900 	231969 	40025 	7.9703957267338321 
11000 	235556 	40113 	8.0003830387461417 
11100 	234344 	40734 	8.0375046508183505 
11200 	235445 	40064 	7.9943730449475581 
11300 	236681 	39624 	7.9637542611930163 
11400 	233808 	38536 	7.9340681718563477 
11500 	230363 	38266 	7.9340817117712099 
11600 	245320 	37889 	7.9004004292199097 
11700 	235418 	36800 	7.9137053574967062 
11800 	226062 	39401 	7.9350514481924446 
11900 	231478 	39539 	7.9341868158740407 
12000 	238942 	38134 	8.0104115500121047 
12100 	234229 	36592 	8.0363749385202379 
12200 	223864 	37144 	8.0714395296196528 
12300 	217856 	39849 	8.1381555742037097 
12400 	228839 	40515 	8.1228147457731623 
12500 	231915 	39236 	8.1626494984107865 
12600 	230531 	40070 	8.2056589435375376 
12700 	239032 	37558 	8.1613941007852429 
12800 	229715 	38389 	8.1504395855321139 
12900 	232095 	38363 	8.1659471099377345 
13000 	226459 	37248 	8.2108122923178666 
13100 	233235 	39298 	8.2646297292706095 
13200 	231626 	37618 	8.3166346711975656 
13300 	226712 	37015 	8.2232679941528595 
13400 	227227 	37845 	8.2577492942632187 
13500 	225723 	37302 	8.2837065797834608 
13600 	224245 	37463 	8.2923771130091133 
13700 	220143 	36623 	8.2741945298868416 
13800 	223302 	38425 	8.2831537087925167 
13900 	230543 	40461 	8.3033766438737686 
14000 	232699 	39214 	8.2256410855032644 
14100 	225806 	36783 	8.2671748062398418 
14200 	227849 	37735 	8.2941340484620554 
14300 	235034 	38265 	8.2858018628553278 
14400 	232726 	38326 	8.1959877268817163 
14500 	231688 	38416 	8.1635953788134703 
14600 	232847 	37805 	8.1773621640008791 
14700 	235422 	38295 	8.1644305284391425 
14800 	236282 	38266 	8.1661186776963497 
14900 	227265 	37466 	8.1565005201748448 
15000 	223914 	38147 	8.1450640706730937 
15100 	227886 	39231 	8.181307100788672 
15200 	231710 	40892 	8.1817138102346902 
15300 	246718 	38245 	8.1638577452365162 
15400 	233848 	37553 	8.2348422214712329 
15500 	226017 	36587 	8.2018388822356805 
15600 	228419 	39179 	8.2793213277678088 
15700 	235414 	38707 	8.2059232817339396 
15800 	229618 	38261 	8.1443839757458942 
15900 	232556 	38915 	8.2034224574341579 
16000 	230121 	38529 	8.184490555976403 
16100 	241643 	38153 	8.1364122269195693 
16200 	237249 	37296 	8.1472316983303958 
16300 	228574 	36431 	8.167728909221406 
16400 	227016 	38338 	8.1684440319020943 
16500 	216698 	38064 	8.2189085642162496 
16600 	219582 	38170 	8.1661809679733075 
16700 	230195 	38126 	8.2185014209613758 
16800 	227587 	39132 	8.2061016799476718 
16900 	220246 	38899 	8.1076222787681846 
17000 	221724 	39690 	8.1685289827431458 
17100 	236799 	38816 	8.1672265909413255 
17200 	230981 	37101 	8.1595183022977444 
17300 	223429 	35264 	8.1996829524229309 
17400 	220425 	38517 	8.1806922874813903 
17500 	226375 	40943 	8.1751876895219731 
17600 	237167 	39221 	8.2246529025619193 
17700 	234289 	35966 	8.246124465530098 
17800 	222248 	37758 	8.229013788922515 
17900 	226871 	39967 	8.2731655182467279 
18000 	227708 	38497 	8.3660699463803798 
18100 	220422 	38075 	8.3843587658551257 
18200 	233670 	37294 	8.2632146092998298 
18300 	229092 	37406 	8.2338445481275926 
18400 	225899 	38169 	8.2404369402020592 
18500 	231789 	39443 	8.2856246502783897 
18600 	237136 	37745 	8.2500013569855568 
18700 	238049 	37488 	8.2212131261075303 
18800 	221392 	36874 	8.2398741605645895 
18900 	234135 	39505 	8.2058116174098377 
19000 	230222 	39057 	8.2448616326105935 
19100 	230434 	38277 	8.2130671410639078 
19200 	231088 	38380 	8.159881323341347 
19300 	233367 	37859 	8.1672042236332185 
19400 	234134 	38426 	8.1748293278667123 
19500 	216819 	37977 	8.2351201053575487 
19600 	227239 	39090 	8.1737191329224821 
19700 	233100 	39506 	8.1828812178431107 
19800 	234302 	36255 	8.149538948277435 
19900 	227267 	37164 	8.1430538336034051 
20000 	228703 	38240 	8.1667825740659747 
20100 	224953 	36407 	8.1503212597371952 
20200 	226475 	39168 	8.1479325232536244 
20300 	225495 	40035 	8.1986889667745011 
20400 	227246 	40148 	8.101525016868667 
20500 	242512 	39269 	8.1132834219882959 
20600 	234436 	35917 	8.1231060579219072 
20700 	228129 	37701 	8.1338778681940571 
20800 	225097 	38767 	8.1684030415117963 
20900 	227636 	37595 	8.0711982798089945 
21000 	223671 	37740 	8.0729675002997254 
21100 	235751 	39173 	8.1235595996134418 
21200 	244844 	38858 	8.1012150732619155 
21300 	236522 	37840 	8.1314551417434746 
21400 	238820 	38637 	8.1331258003907738 
21500 	231242 	36217 	8.1166751109341995 
21600 	226247 	39087 	8.1234425762975011 
21700 	225469 	40961 	8.1635411511568901 
21800 	232918 	38991 	8.189192845969675 
21900 	225582 	36755 	8.1307787739168305 
22000 	229244 	38599 	8.1737188746224003 
22100 	232982 	38274 	8.1713649743802037 
22200 	238726 	37387 	8.1483863263483087 
22300 	225771 	38176 	8.1170123198611659 
22400 	231142 	39961 	8.0943789099909509 
22500 	225032 	38740 	8.042308383710612 
22600 	230893 	40646 	8.1586281366729718 
22700 	231645 	38042 	8.1265904735033061 
22800 	229677 	38010 	8.1032024129258655 
22900 	226983 	38834 	8.0435351223308675 
23000 	225045 	37935 	8.0416075981370483 
23100 	223735 	39665 	8.0540922887535409 
23200 	228190 	40294 	8.043252195916974 
23300 	231656 	38672 	8.0696513572476398 
23400 	229238 	38781 	8.07677639405901 
23500 	240179 	39129 	8.0922969747595719 
23600 	240087 	38638 	8.0617937255316114 
23700 	234563 	37649 	8.0848800704873831 
23800 	232852 	38478 	8.0786313631414224 
23900 	231061 	38836 	8.077001062861493 
24000 	226560 	38823 	8.0799747633336629 
24100 	236094 	38250 	8.1211141480959519 
24200 	229597 	38894 	8.1433917058829 
24300 	231393 	37769 	8.1281984407148329 
24400 	225363 	38302 	8.1646235634795481 
24500 	229968 	38427 	8.164601952148562 
24600 	229057 	38086 	8.1526343213345775 
24700 	227328 	39904 	8.1596385210606446 
24800 	231047 	39710 	8.1782327940734856 
24900 	218460 	39244 	8.1241467421610167 
25000 	237328 	40694 	8.1219685602867617 
25100 	237168 	37151 	8.1431578862753682 
25200 	228972 	37318 	8.1518231271652244 
25300 	233898 	39100 	8.1388214473065403 
25400 	234399 	37888 	8.1277738336424346 
25500 	218243 	37577 	8.1070076908469968 
25600 	230993 	40197 	8.1114542456032357 
25700 	231760 	38767 	8.1444343737682594 
25800 	226813 	39361 	8.1250828868339173 
25900 	221897 	37136 	8.1918100060801304 
26000 	222999 	39557 	8.192295404001829 
26100 	224474 	38594 	8.2217542234894019 
26200 	230674 	39042 	8.2053751988887651 
26300 	221829 	37273 	8.2150803910414023 
26400 	229207 	37054 	8.2127848294357975 
26500 	221141 	35505 	8.2014384342659667 
26600 	220395 	37300 	8.2411020549075058 
26700 	223872 	37432 	8.2801553576350191 
26800 	218896 	39444 	8.2194333023888966 
26900 	230654 	39395 	8.247578863633974 
27000 	238214 	38569 	8.224861147923157 
27100 	227781 	35875 	8.2595418460146597 
27200 	226951 	36733 	8.2223531611893428 
27300 	218523 	40114 	8.1893673631278094 
27400 	231643 	39342 	8.1785756061074313 
27500 	226700 	36657 	8.1747779402242955 
27600 	227524 	36871 	8.1466401173410947 
27700 	224866 	37786 	8.1661335033969884 
27800 	221436 	40031 	8.1854572740851861 
27900 	229891 	42007 	8.1363863300920514 
28000 	237879 	39953 	8.1300025908164759 
28100 	231694 	36342 	8.0967143061448326 
28200 	227727 	37429 	8.1686519303753773 
28300 	235100 	36817 	8.2069578679074802 
28400 	230825 	37181 	8.1970591418702856 
28500 	227568 	37646 	8.173253292991296 
28600 	230824 	37912 	8.1855079867160576 
28700 	225482 	40136 	8.2864353632000878 
28800 	225795 	38899 	8.2929214336023804 
28900 	229094 	40297 	8.2648372485483588 
29000 	234956 	39086 	8.2783907579746785 
29100 	242664 	37946 	8.2835871366955178 
29200 	234577 	36643 	8.276544038000246 
29300 	223129 	36107 	8.2717666575608142 
29400 	231464 	37088 	8.2727863378942565 
29500 	226865 	36874 	8.2203304132565211 
29600 	224472 	37878 	8.2168799055402157 
29700 	225897 	37263 	8.2689028849416548 
29800 	225347 	38485 	8.2809273074046903 
29900 	227490 	38823 	8.2951352033168977 
30000 	218641 	38222 	8.3085440097584708 
30100 	226359 	41391 	8.3195423919343767 
30200 	230042 	39540 	8.3015989644415029 
30300 	232158 	39331 	8.3404542945160927 
