Time 	Sus 	Infected 	mean_inf 
0 	472408 	52685 	5 
100 	232630 	102813 	5.0096035148532048 
200 	226102 	115853 	5.034612654611311 
300 	223932 	116853 	5.0786624441456425 
400 	219154 	116051 	5.1182497196990244 
500 	218321 	116654 	5.1631707149609909 
600 	219016 	116088 	5.2198053471412624 
700 	214793 	112156 	5.2774613566849622 
800 	213000 	113097 	5.3220936145548672 
900 	211611 	113160 	5.387091756713998 
1000 	207178 	111890 	5.4538483386279628 
1100 	208949 	110391 	5.5225560397054343 
1200 	210737 	111476 	5.5706691390420335 
1300 	202685 	109490 	5.6456134246923737 
1400 	202187 	109056 	5.7077859129834483 
1500 	200668 	108811 	5.763714969367804 
1600 	199908 	107139 	5.8045056051006565 
1700 	196494 	107047 	5.8583198934409353 
1800 	197572 	105162 	5.9210369646612921 
1900 	198709 	105046 	5.9828285516145998 
2000 	195898 	104815 	6.0247078986050449 
2100 	194564 	104504 	6.0923123074042778 
2200 	192905 	105051 	6.1373280962214478 
2300 	189591 	104007 	6.2070944994843495 
2400 	189868 	104497 	6.2392043759320961 
2500 	190470 	100439 	6.2944624431078422 
2600 	191359 	101506 	6.341600067536425 
2700 	187353 	99972 	6.3814391254116734 
2800 	190747 	100381 	6.4156456269553175 
2900 	187716 	98835 	6.4522521901321932 
3000 	184224 	98964 	6.4943577471978315 
3100 	186622 	99083 	6.5303953004951651 
3200 	184629 	98273 	6.577803188642779 
3300 	182468 	96787 	6.6179557477876658 
3400 	181506 	96780 	6.657573267027824 
3500 	182561 	99296 	6.7088939190987924 
3600 	185756 	97993 	6.7278203190795267 
3700 	180386 	95495 	6.7663041992468402 
3800 	178950 	97295 	6.8028160743525374 
3900 	179275 	95574 	6.817033820819832 
4000 	182435 	94970 	6.8546818813663313 
4100 	179561 	95072 	6.8442495096396456 
4200 	180986 	94547 	6.86648101626366 
4300 	178931 	94137 	6.8914918142354136 
4400 	176158 	95274 	6.9072089423300875 
4500 	178623 	96692 	6.9259375773206333 
4600 	175719 	95100 	6.9358244949343959 
4700 	175660 	92834 	6.9598780429865155 
4800 	182026 	93411 	6.9884471274611313 
4900 	173740 	95163 	6.9941432140325945 
5000 	180291 	92941 	7.0234485506222208 
5100 	171481 	94010 	7.0148053837115905 
5200 	178867 	95601 	7.0323353835768341 
5300 	178445 	92483 	7.0314830265340618 
5400 	173858 	94222 	7.0674189930715983 
5500 	174954 	92844 	7.079837861934358 
5600 	175918 	93873 	7.1026826401609897 
5700 	173911 	93081 	7.105184650119206 
5800 	179053 	93177 	7.1017816778428564 
5900 	173657 	93080 	7.0908570073016168 
6000 	177933 	92309 	7.1433322059680311 
6100 	177166 	91708 	7.1445309831024462 
6200 	174280 	91693 	7.1558924329181703 
6300 	175688 	94973 	7.1485798062576791 
6400 	172037 	92482 	7.1530453226102235 
6500 	174106 	92438 	7.1922022980305105 
6600 	170042 	90546 	7.195725590018756 
6700 	175760 	95395 	7.2017344245523365 
6800 	173864 	91964 	7.2082171636351964 
6900 	172712 	92366 	7.2192940853955232 
7000 	168767 	89952 	7.2611502393927116 
7100 	170580 	92203 	7.2623262988469053 
7200 	172040 	90586 	7.2754533359439533 
7300 	173428 	89701 	7.2895236676360389 
7400 	173708 	90659 	7.2992895774688416 
7500 	176974 	90853 	7.3180096474998164 
7600 	173343 	92767 	7.3123873667674104 
