Time 	Sus 	Infected 	mean_inf 
0 	472408 	52685 	5 
100 	385135 	71426 	5.0178629178700911 
200 	325971 	62026 	5.0432581526317453 
300 	306382 	55314 	5.0628827085062849 
400 	289838 	54859 	5.0977431210670261 
500 	286196 	55141 	5.1181472556490464 
600 	286636 	54542 	5.1633573965518051 
700 	279275 	53807 	5.2026954498317615 
800 	280110 	54437 	5.259214684391619 
900 	280492 	53544 	5.3015532807458001 
1000 	271602 	53754 	5.3708282131104825 
1100 	278498 	51654 	5.4298074324269905 
1200 	271467 	53329 	5.4979763731055948 
1300 	273963 	52489 	5.5791466800705258 
1400 	267096 	52367 	5.6375690494124484 
1500 	269801 	51778 	5.6781872303893337 
1600 	268134 	50834 	5.7077367212158787 
1700 	268085 	49787 	5.7909352131353842 
1800 	265725 	50683 	5.8661577292451126 
1900 	265138 	50830 	5.9235127717336091 
2000 	273888 	50861 	5.9709519118329615 
2100 	272070 	48529 	6.0133379343401145 
2200 	263713 	47895 	6.0834700682706595 
2300 	266621 	49480 	6.1221573414722794 
2400 	267211 	48968 	6.139010097216218 
2500 	262850 	48787 	6.1906000096312788 
2600 	257970 	47477 	6.2455056019842212 
2700 	254844 	47741 	6.2699105454895179 
2800 	254077 	47459 	6.3190119442147878 
2900 	259206 	45296 	6.3694999196594795 
3000 	251071 	47166 	6.4321619951569966 
3100 	250644 	48804 	6.4740003768442076 
3200 	255024 	48034 	6.5086978165975644 
3300 	252722 	48840 	6.5315605727694299 
3400 	250524 	47857 	6.5424161375887246 
3500 	248443 	46445 	6.6102546621070211 
3600 	244332 	46144 	6.618990794568492 
3700 	235477 	44973 	6.7199245482078123 
3800 	237010 	45207 	6.7598656454197323 
3900 	245328 	46551 	6.7772289111773407 
4000 	247990 	45599 	6.7793394161244276 
4100 	245890 	46842 	6.8196968453521505 
4200 	239386 	46423 	6.8440748540065375 
4300 	241391 	47182 	6.8666069164259183 
4400 	230443 	46692 	6.9051958423842645 
4500 	235277 	48546 	6.9671849426183963 
4600 	236329 	46480 	7.0314743147430141 
4700 	240637 	46278 	7.0670997276970846 
4800 	237789 	44887 	7.1452025709222164 
4900 	242458 	44593 	7.1634089796127416 
5000 	236855 	44786 	7.151528544744358 
5100 	232996 	44015 	7.1988791612977749 
5200 	230201 	44036 	7.2352474773583406 
5300 	238272 	42761 	7.2384956631738397 
5400 	232594 	44284 	7.293843673234786 
5500 	232974 	43015 	7.3057019995818937 
5600 	232168 	45887 	7.2618518740132787 
5700 	234004 	43684 	7.2889941632889901 
5800 	229627 	43353 	7.3211565538642054 
5900 	226995 	43553 	7.3541732625796028 
6000 	227545 	43299 	7.4150677526528987 
6100 	230346 	44049 	7.4134766037481832 
6200 	241504 	45267 	7.417640248532865 
6300 	243133 	42737 	7.4211686756211241 
6400 	237250 	42810 	7.4140091281260743 
6500 	234925 	43363 	7.4715379536031339 
6600 	228856 	42519 	7.470891293754665 
6700 	230047 	43180 	7.4990927660008291 
6800 	230181 	41401 	7.5093897714533524 
6900 	226665 	44767 	7.5757099336143723 
7000 	232523 	44821 	7.5543447777221377 
7100 	232635 	41426 	7.4972020307511995 
7200 	231815 	42128 	7.5654361457268715 
7300 	226629 	41754 	7.6248264566307347 
7400 	233965 	42940 	7.6206355758465696 
7500 	233595 	42340 	7.6378744183191456 
7600 	232765 	43038 	7.6939804313908589 
7700 	227910 	42947 	7.7329592751073131 
