Time 	Sus 	Infected 	mean_inf 
0 	472408 	52685 	5 
100 	496733 	27351 	5.0058388092791892 
200 	310438 	29680 	5.0303183873104578 
300 	296501 	42065 	5.0439268844833123 
400 	320763 	41507 	5.061214279633556 
500 	320251 	40179 	5.1162055583106385 
600 	304808 	42404 	5.1499711208793162 
700 	317307 	41189 	5.19441879288118 
800 	311717 	40352 	5.269990290933416 
900 	309161 	39940 	5.3192102947512376 
1000 	305334 	41064 	5.3731413804094128 
1100 	306909 	40567 	5.4563592864474719 
1200 	311178 	38146 	5.4936551491163552 
1300 	303435 	38284 	5.5364806081370688 
1400 	293997 	40002 	5.6038319261520098 
1500 	300455 	39049 	5.6819752269026145 
1600 	303181 	37467 	5.7453899892811506 
1700 	294143 	36659 	5.8164401124051661 
1800 	287877 	38601 	5.8814697133880109 
1900 	288507 	38719 	5.91365204758978 
2000 	282656 	38430 	5.9959698316225376 
2100 	289385 	38272 	6.0777023534971564 
2200 	281711 	37514 	6.1410035079638137 
2300 	280796 	35913 	6.1950954529578599 
2400 	275998 	36438 	6.2295381858096759 
2500 	278187 	36879 	6.2703520143855673 
2600 	283125 	36585 	6.3542829755730672 
2700 	278442 	36133 	6.4277597284493417 
2800 	274243 	35056 	6.4621288197962086 
2900 	278351 	36433 	6.4896951983480617 
3000 	274576 	37212 	6.5609278644794351 
3100 	272758 	35107 	6.552827230370986 
3200 	280254 	34708 	6.6019581634477573 
3300 	273225 	35656 	6.6576817916082867 
3400 	272645 	34753 	6.6952181188843154 
3500 	273739 	34555 	6.7371610939331719 
3600 	264971 	36122 	6.7919205566354801 
3700 	280389 	35446 	6.7989673757499949 
3800 	262380 	34583 	6.9052926076251451 
3900 	269702 	35304 	6.8812841412177139 
4000 	262861 	34998 	6.9260999304219784 
4100 	267841 	35250 	7.0068099912188231 
4200 	273133 	34008 	7.0917314375751115 
4300 	267133 	31766 	7.0821822643086705 
4400 	254405 	34455 	7.1706048700058496 
4500 	261147 	35969 	7.2119055360530107 
4600 	266600 	34312 	7.2246671164929026 
4700 	264667 	33143 	7.2743901477606432 
